x Distance [mm]	Height [cm]
 205.255 	 6.372 
 205.440 	 6.372 
 205.630 	 6.372 
 205.820 	 6.372 
 206.005 	 6.372 
 206.195 	 6.368 
 206.380 	 6.372 
 206.570 	 6.372 
 206.760 	 6.377 
 206.945 	 6.373 
 207.135 	 6.372 
 207.320 	 6.381 
 207.510 	 6.382 
 207.700 	 6.377 
 207.885 	 6.372 
 208.075 	 6.372 
 208.260 	 6.372 
 208.450 	 6.372 
 208.640 	 6.372 
 208.825 	 6.372 
 209.015 	 6.372 
 209.200 	 6.372 
 209.390 	 6.377 
 209.580 	 6.377 
 209.765 	 6.377 
 209.955 	 6.372 
 210.140 	 6.372 
 210.330 	 6.367 
 210.520 	 6.367 
 210.705 	 6.367 
 210.895 	 6.367 
 211.080 	 6.371 
 211.270 	 6.372 
 211.460 	 6.367 
 211.645 	 6.367 
 211.835 	 6.367 
 212.020 	 6.367 
 212.210 	 6.377 
 212.400 	 6.372 
 212.585 	 6.372 
 212.775 	 6.372 
 212.960 	 6.372 
 213.150 	 6.372 
 213.340 	 6.372 
 213.525 	 6.372 
 213.715 	 6.372 
 213.900 	 6.372 
 214.090 	 6.372 
 214.280 	 6.376 
 214.465 	 6.369 
 214.655 	 6.372 
 214.840 	 6.372 
 215.030 	 6.372 
 215.220 	 6.372 
 215.405 	 6.372 
 215.595 	 6.368 
